datetime,symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
2026-03-12 10:50:00,BTCUSDT,81426.76600000,5728942975.46200000,20000978.00000000,1773312600000
2026-03-12 10:55:00,BTCUSDT,81332.93600000,5722726934.57726600,20000978.00000000,1773312900000
2026-03-12 11:00:00,BTCUSDT,81373.84500000,5726583027.16828900,20000978.00000000,1773313200000
2026-03-12 11:05:00,BTCUSDT,81438.18000000,5735495565.76800000,20000978.00000000,1773313500000
2026-03-12 11:10:00,BTCUSDT,81512.93900000,5741347083.33854100,20000978.00000000,1773313800000
2026-03-12 11:15:00,BTCUSDT,81490.66900000,5734620613.53350000,20000978.00000000,1773314100000
2026-03-12 11:20:00,BTCUSDT,81496.15500000,5743514870.16450000,20000978.00000000,1773314400000
2026-03-12 11:25:00,BTCUSDT,81538.68600000,5748163992.10400700,20000978.00000000,1773314700000
2026-03-12 11:30:00,BTCUSDT,81545.68000000,5751347725.84501800,20000978.00000000,1773315000000
2026-03-12 11:35:00,BTCUSDT,81511.44500000,5745518280.83802000,20000978.00000000,1773315300000
2026-03-12 11:40:00,BTCUSDT,81532.57600000,5756376912.99767300,20000978.00000000,1773315600000
2026-03-12 11:45:00,BTCUSDT,81659.25500000,5768524096.15700000,20000978.00000000,1773315900000
2026-03-12 11:50:00,BTCUSDT,81839.64100000,5776807756.80376300,20000978.00000000,1773316200000
2026-03-12 11:55:00,BTCUSDT,81884.07700000,5763607281.42980000,20000978.00000000,1773316500000
2026-03-12 12:00:00,BTCUSDT,81961.39700000,5769803680.05020000,20000978.00000000,1773316800000
2026-03-12 12:05:00,BTCUSDT,82046.91500000,5769071395.38450000,20000978.00000000,1773317100000
2026-03-12 12:10:00,BTCUSDT,82112.09300000,5772710051.76040000,20000978.00000000,1773317400000
2026-03-12 12:15:00,BTCUSDT,82206.69800000,5782567109.37640000,20000978.00000000,1773317700000
2026-03-12 12:20:00,BTCUSDT,82246.90700000,5787047434.75169800,20000978.00000000,1773318000000
2026-03-12 12:25:00,BTCUSDT,82211.93600000,5783198637.92000000,20000978.00000000,1773318300000
2026-03-12 12:30:00,BTCUSDT,82226.09700000,5787711268.17506000,20000978.00000000,1773318600000
2026-03-12 12:35:00,BTCUSDT,82246.20500000,5780929481.66050000,20000978.00000000,1773318900000
2026-03-12 12:40:00,BTCUSDT,82231.77200000,5779396953.34960000,20000978.00000000,1773319200000
2026-03-12 12:45:00,BTCUSDT,82253.49100000,5793239930.64241700,20000978.00000000,1773319500000
2026-03-12 12:50:00,BTCUSDT,82271.54200000,5805294458.60206700,20000978.00000000,1773319800000
2026-03-12 12:55:00,BTCUSDT,82259.77400000,5785387487.26180000,20000978.00000000,1773320100000
2026-03-12 13:00:00,BTCUSDT,82251.01700000,5786235669.42450000,20000978.00000000,1773320400000
2026-03-12 13:05:00,BTCUSDT,82292.94200000,5791884238.78460000,20000978.00000000,1773320700000
2026-03-12 13:10:00,BTCUSDT,82339.12400000,5795480412.30200000,20000978.00000000,1773321000000
2026-03-12 13:15:00,BTCUSDT,82358.13700000,5796027136.40542400,20000978.00000000,1773321300000
2026-03-12 13:20:00,BTCUSDT,82379.80200000,5783795862.07197100,20000978.00000000,1773321600000
2026-03-12 13:25:00,BTCUSDT,82277.31700000,5766072080.32409200,20000978.00000000,1773321900000
2026-03-12 13:30:00,BTCUSDT,82303.97800000,5767920391.02460000,20000978.00000000,1773322200000
2026-03-12 13:35:00,BTCUSDT,82349.50200000,5789837021.56620000,20000978.00000000,1773322500000
2026-03-12 13:40:00,BTCUSDT,82471.58400000,5793628776.00000000,20000978.00000000,1773322800000
2026-03-12 13:45:00,BTCUSDT,82730.50900000,5794618584.42890000,20000978.00000000,1773323100000
2026-03-12 13:50:00,BTCUSDT,82618.23700000,5783821870.36420000,20000978.00000000,1773323400000
2026-03-12 13:55:00,BTCUSDT,82656.60100000,5775741046.41465900,20000978.00000000,1773323700000
2026-03-12 14:00:00,BTCUSDT,82995.88900000,5804143205.84810000,20000978.00000000,1773324000000
2026-03-12 14:05:00,BTCUSDT,83080.00200000,5833653424.43460000,20000978.00000000,1773324300000
2026-03-12 14:10:00,BTCUSDT,83342.44900000,5854421058.00340700,20000978.00000000,1773324600000
2026-03-12 14:15:00,BTCUSDT,83380.09000000,5864755418.38400000,20000978.00000000,1773324900000
2026-03-12 14:20:00,BTCUSDT,83159.23000000,5829851796.93963200,20000978.00000000,1773325200000
2026-03-12 14:25:00,BTCUSDT,83166.68000000,5835791776.77379300,20000978.00000000,1773325500000
2026-03-12 14:30:00,BTCUSDT,83134.45100000,5813317814.74170000,20000978.00000000,1773325800000
2026-03-12 14:35:00,BTCUSDT,83098.47600000,5795428983.64920000,20000978.00000000,1773326100000
2026-03-12 14:40:00,BTCUSDT,82952.73700000,5768027319.28430000,20000978.00000000,1773326400000
2026-03-12 14:45:00,BTCUSDT,83239.80800000,5788689906.33680100,20000978.00000000,1773326700000
2026-03-12 14:50:00,BTCUSDT,83281.02400000,5781718466.38080000,20000978.00000000,1773327000000
2026-03-12 14:55:00,BTCUSDT,83297.54500000,5785080919.78071300,20000978.00000000,1773327300000
2026-03-12 15:00:00,BTCUSDT,83304.93600000,5793960994.46933900,20000978.00000000,1773327600000
2026-03-12 15:05:00,BTCUSDT,83239.77500000,5803035942.19250000,20000978.00000000,1773327900000
2026-03-12 15:10:00,BTCUSDT,83246.03100000,5790627289.57312100,20000978.00000000,1773328200000
2026-03-12 15:15:00,BTCUSDT,83262.59400000,5804160491.40540000,20000978.00000000,1773328500000
2026-03-12 15:20:00,BTCUSDT,83103.52000000,5800224654.07001400,20000978.00000000,1773328800000
2026-03-12 15:25:00,BTCUSDT,83122.18200000,5814121115.80209200,20000978.00000000,1773329100000
2026-03-12 15:30:00,BTCUSDT,83001.73000000,5830655728.00200000,20000978.00000000,1773329400000
2026-03-12 15:35:00,BTCUSDT,82955.88400000,5823345440.62040000,20000978.00000000,1773329700000
2026-03-12 15:40:00,BTCUSDT,83005.82200000,5853307393.87225600,20000978.00000000,1773330000000
